"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Animal Farm","Die opstand ... Vertaal en verwerk deur Taboureux Bruwer","002722654","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Bruwer, Taboureux [person] ; Orwell, George, 1903-1950 [person]","","","","Johannesburg","Afrikaanse Pers","1963","","107 pages, 22 cm","","X.989/34360","","","","",""
"Animal Farm","Folwark zwierzęcy. (Tłumaczyła Teresa Jeleńska.)","002722664","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Jeleńska, Teresa, 1890-1960 [person]","","","England","London","specjalne 'Wolnej Europy'","1956","","47 pages, illustrations, 21 cm","","X.909/18778","","","","",""
"Animal Farm","Folwark zwierzęcy. Przełożyła ... Teresa Jeleńska","002722665","Monograph","Language material ; Text","Volume","","","9780903705059","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Jeleńska, Teresa, 1890-1960 [person]","","","","Londyn","Odnowa","1974","","94 pages, 18 cm","","X.908/29452","","","","Printed in Belgium",""
"Animal Farm","George Orwell's Animal Farm","013675190","Monograph","Language material ; Text","Volume","GBA715159","","9780791085837","","","","","Bloom, Harold [person]","Bloom's guides","","United States of America","New York","Chelsea House","2006","","101 pages, 23 cm","823.912","YC.2007.a.2747","Animals in literature ; Fables, English--History and criticism ; Orwell, George, 1903-1950 ; Political fiction, English--History and criticism ; Social problems in literature ; Satire, English--History and criticism","","English","",""
"Animal Farm","George Orwell: Animal Farm","000175769","Monograph","Language material ; Text","Volume","","","","Baker, Isadore Lewis","","person","","Orwell, George, 1903-1950 [person] ; Baker, Isadore Lewis [person]","Notes on Chosen English Texts","","England","London","James Brodie","1961","","71 pages (8°)","","W.P.c.589/105","","","","",""
"Animal Farm","George Orwell: Animal Farm","002693951","Monograph","Language material ; Text","Volume","","","9780717106141","O'Doherty, John","","person","","O'Doherty, John [person] ; Orwell, George, 1903-1950 [person]","Study-guide series","","Ireland","Dublin","Gill & Macmillan","1974","","40 pages, 21 cm","","X.909/29950","","","","",""
"Animal Farm","La Fattoria degli animali, etc. (Traduzione di Bruno Tasso. III edizione.)","002722660","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Tasso, Bruno [person]","Medusa","volume 200 [Medusa]","","Milan","","1949","","144 pages (8°)","","11411.ee.19","","","","",""
"Animal Farm","La Fattoria degli animali, etc. (Traduzione di Bruno Tasso. IV edizione.)","002722661","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Tasso, Bruno [person]","Medusa","volume 200 [Medusa]","","Milan","","1951","","144 pages (8°)","","11411.b.83","","","","",""
"Animal Farm","La Fattoria degli animali, etc. (Traduzione di Bruno Tasso. V edizione.)","002722662","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Tasso, Bruno [person]","Medusa","volume 200 [Medusa]","","Milan","","1953","","145 pages (8°)","","11411.bb.53","","","","",""
"Animal Farm","La Fattoria degli animali, etc. (Traduzione di Bruno Tasso.)","002722659","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Tasso, Bruno [person]","Medusa","volume 200 [Medusa]","","Milan","","1947","","144 pages (8°)","","11411.c.11","","","","",""
"Animal Farm","La république des animaux, etc","002722656","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Du monde entier","number 358 [Du monde entier]","France","Paris","Gallimard","1964","","155 pages, 20 cm","","X.900/13322","","","","number 6 of an edition of 31 copies",""
"Animal Farm","Notes on George Orwell's Animal Farm","002722669","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Methuen","1965","","36 pages (8°)","","X.909/5838","","","","part of the 'Study-aid series'",""
"Animal Farm","Zwierzęcy folwark ... Tłumaczyła Teresa Jeleńska. (Ilustracje Wojciecha Jastrzębowskiego.)","002722663","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Jastrzębowski, Wojciech [person] ; Orwell, George, 1903-1950 [person] ; Jeleńska, Teresa, 1890-1960 [person]","","","","Londyn","Światowego Związku Polaków z Zagranicy","1947","","94 pages (8°)","","012642.pp.100","","","","",""
"Animal Farm, George Orwell","","007733288","Monograph","Language material ; Text","Volume","GB94A0016","","9781857582604","Mahoney, John","1940 February 23-","person","","Mahoney, John, 1940 February 23- [person]","A Letts literature guide ; Letts explore","","England","London","Letts Educational","1994","","63 pages, 21 cm","","","Orwell, George, 1903-1950","","English","",""
"Animal Farm, etc","","002722651","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Bridge Series","","England","London","Longmans Green","1954","","viii, 120 pages (8°)","","W.P.2685/9","","","","",""
"Animal Farm. A fable in two acts. Adapted by Nelson Bond from the book by George Orwell","Animal Farm","000405621","Monograph","Language material ; Text","Volume","","","","Bond, Nelson","","person","","Bond, Nelson [person] ; Orwell, George, 1903-1950 [person]","","","United States of America","New York","Samuel French","1964","","57 pages (8°)","","X.908/4425","","","","",""
"Animal Farm. A fairy story","","002722647","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Secker & Warburg","1945","","91 pages (8°)","","Cup.409.c.60","","","","",""
"Animal Farm. A fairy story","","002722649","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Penguin Books","number 838 [Penguin Books]","England","Harmondsworth","Penguin","1951","","119 pages (8°)","","12208.a.1/838","","","","",""
"Animal Farm. Adaptations. Polish","Folwark zwierze̢cy : komiks wg Orwella","012550422","Monograph","Language material ; Text","Volume","","","","","","","","Orwell, George, 1903-1950 [person]","","","Poland","","","1985","","31 pages, illustrations","","Sol.203b","Fiction in English--1900-1945--Translations","","Polish","Comic ; Samizdat publication",""
"Animal Farm. Hungarian","Egy tanya gazdát cserél. Translated into Hungarian by Antal Ják","004090080","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Ják, Antal [person]","","","Hungary","Budapest","","1952-1953","","86 pages","","X.958/22405","Fiction in English--1900-1945","","Hungarian","Typescript (photocopy)",""
"Animal Farm. Polish","Folwark zwierze̢cy","010172766","Monograph","Language material ; Text","Volume","","","9788370012441","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Zborski, Bartłomiej [person] ; Sadkowski, Wacław [person]","","","Poland","Warszawa","Alfa","1988","","141 pages","823.91 ; 823.912","YA.1993.a.8276","Fiction in English--1900-1945--Translations","","Polish","",""
"Animal Farm. Ukrainian","Kolhosp tvaryn ; Колгосп тварин : казка","002722666","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Cherni︠a︡tynsʹkyĭ, Ivan [person]","","","Germany","Munich","Vydavnyt︠s︡tvo 'Prometeĭ'","1947","","90 pages, illustrations, portraits (8°)","","12593.f.40","English fiction--20th century--Translations into Ukrainian","Translations into Ukrainian","Ukrainian","With a portraits",""
"Animal farm 2017 : an adaptation of George Orwell's classic dystopian novel","Animal farm","018718453","Monograph","Language material ; Still image ; Text","Volume","GBB823715","","9781988440170","Gupta, Ashis","","person","author","Orwell, George, 1903-1950 [person] ; Gupta, Ashis, author [person]","","","Canada","Calgary","Bayeux Arts","2018","","1 volume, colour illustrations, 21 cm","813.6","","","","English","",""
"Animal farm : AQA GCSE English literature","","018406304","Monograph","Language material ; Text","Volume","GBB7B1827","","9780008247133","Burns, Paul","1956-","person","author","Burns, Paul, 1956-, author [person]","Collins snap revision ; Collins snap revision text guide","","England","London","Collins","2017","","80 pages, 21 cm","823.912","YKL.2018.a.19830","English literature--Examinations--Study guides ; Orwell, George, 1903-1950","Study guide","English","",""
"Animal farm : Burmese days ; A clergyman's daughter ; Coming up for air ; Keep the aspidistra flying ; Nineteen eighty four","","012629595","Monograph","Language material ; Text","Volume","GB7636393","","9780706405675","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Octopus ; Secker & Warburg","1976","","925 pages, 25 cm","823.91","Nov.33184","Fiction in English ; Fiction in English--1900---Texts","","English","",""
"Animal farm : Burmese days ; A clergyman's daughter ; Coming up for air ; Keep the aspidistra flying ; Nineteen eighty-four","","007433745","Monograph","Language material ; Text","Volume","GB8417189","","9780905712727","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Secker & Warburg","1983","","925 pages, 24 cm","823.912","X.950/29775","Fiction in English--1900-1945--Texts","","English","",""
"Animal farm : George Orwell","","016662211","Monograph","Language material ; Text","Volume","GBB435277","","9780198304838","Waldron, Carmel","","person","author","Buckroyd, Peter, editor [person] ; Waldron, Carmel, author [person]","Oxford literature companions","","England","Oxford","Oxford University Press","2014","","95 pages, illustrations (black and white and colour), 22 cm","823.912","YKL.2015.a.2211","Orwell, George, 1903-1950","","English","",""
"Animal farm : George Orwell","","017539540","Monograph","Language material ; Text","Volume","GBB5E3452","","9781447982135","Opalinska, Wanda","","person","author","Opalinska, Wanda, author [person]","York notes for GCSE","","England","Harlow, Essex ; London","Pearson ; York","2015","New and fully revised edition","88 pages, illustrations, 30 cm","823.912","","General Certificate of Secondary Education--Study guides ; English literature--Examinations--Study guides ; Orwell, George, 1903-1950","Study guide","English","'York notes for GCSE study guide. New for GCSE (9-1) '--Cover",""
"Animal farm : George Orwell","","018479877","Monograph","Language material ; Text","Online resource","GBB7N7612","","9781292135298","Opalinska, Wanda","","person","author","Opalinska, Wanda, author [person]","York notes for GCSE","","England ; United Kingdom","Harlow","Pearson","2015","","1 online resource (88 pages)","823.912","ELD.DS.173825","General Certificate of Secondary Education--Study guides ; English literature--Examinations--Study guides ; Orwell, George, 1903-1950","Study guide","English","",""
"Animal farm : a fable in two acts","Animal farm","011523290","Monograph","Language material ; Text","Volume","","","","Bond, Nelson S.","1908-2006","person","","Orwell, George, 1903-1950 [person] ; Bond, Nelson S., 1908-2006 [person]","","","United States of America","New York","S. French","1964","","57 pages, 19 cm","","W12/0709","","","English","",""
